Name,Price,Annual Dividend ($),Annual Dividend (%),"Rating (1=Strong Buy, 5=Sell)",Est. Shares per $1k,Est. Return per Year
Algonquin Power &amp; Utilities Corp. (AQN.TO),19.62,0.85,4.37%,2.6,50,42.5
Alimentation Couche-Tard Inc. (ATD-B.TO),51.46,0.35,0.69%,2,19,6.65
Brookfield Infrastructure Partners L.P. (BIP-UN.TO),71.59,2.56,3.62%,,13,33.28
Bank of Montreal (BMO.TO),127.99,4.24,3.29%,2.4,7,29.68
The Bank of Nova Scotia (BNS.TO),81.03,3.60,4.45%,2.4,12,43.2
Cogeco Communications Inc. (CCA.TO),116.30,2.56,2.19%,2.3,8,20.48
Cogeco Inc. (CGO.TO),90.25,2.18,2.39%,2,11,23.98
Canadian Natural Resources Limited (CNQ.TO),40.49,1.88,4.55%,2,24,45.12
Capital Power Corporation (CPX.TO),42.34,2.19,5.19%,2.5,23,50.37
"Canadian Tire Corporation, Limited (CTC-A.TO)",197.91,4.70,2.37%,2.6,5,23.5
Enbridge Inc. (ENB.TO),49.28,3.34,6.81%,2,20,66.8
Manulife Financial Corporation (MFC.TO),25.18,1.12,4.40%,2.2,39,43.68
Northland Power Inc. (NPI.TO),40.00,1.20,3.00%,1.9,25,30.0
Pembina Pipeline Corporation (PPL.TO),40.26,2.52,6.22%,2.2,24,60.48
TransAlta Renewables Inc. (RNW.TO),20.41,0.94,4.66%,3.2,48,45.12
Suncor Energy Inc. (SU.TO),23.72,0.84,3.50%,2.2,42,35.28
The Toronto-Dominion Bank (TD.TO),86.27,3.16,3.67%,2.7,11,34.76
